epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2549.68,0.74478,1.27058,1.99938,1.4857,0.96839,0.97761,0.99448,0.70856,0.96839,0.97761,0.99448,0.70603,1.03812,0.63017,1.8451,2.59323,0.00027921,0.00027921,0.00027921
30,2637.56,0.75238,1.29469,2.00778,1.48495,0.96236,0.99039,0.99452,0.67644,0.96236,0.99039,0.99452,0.68658,1.22255,0.33954,1.98023,2.67051,0.000278467,0.000278467,0.000278467
31,2725.52,0.74925,1.3006,2.01828,1.4785,0.91273,0.94658,0.99212,0.69323,0.91273,0.94658,0.99212,0.68356,1.09927,0.92063,2.23145,2.56655,0.000277725,0.000277725,0.000277725
32,2814.34,0.73862,1.28115,2.02112,1.46754,0.96911,0.94966,0.97472,0.66517,0.97173,0.95215,0.97881,0.67853,1.19668,0.53821,2.24608,2.56465,0.000276982,0.000276982,0.000276982
33,2903.68,0.72378,1.24601,1.92676,1.47012,0.94061,0.98934,0.99483,0.656,0.94061,0.98934,0.99483,0.674,1.22943,0.64358,2.06089,2.66898,0.00027624,0.00027624,0.00027624
34,2992.7,0.739,1.24257,1.93972,1.46467,0.9077,0.96607,0.99367,0.64002,0.9077,0.96607,0.99367,0.64876,1.26071,0.78361,2.58273,2.89458,0.000275497,0.000275497,0.000275497
35,3081.34,0.7363,1.28172,1.92105,1.46756,0.98693,0.99208,0.9948,0.71011,0.98693,0.99208,0.9948,0.66601,1.12589,1.45627,1.90237,2.51114,0.000274755,0.000274755,0.000274755
36,3170.29,0.71924,1.24574,1.91148,1.45933,0.97109,0.98457,0.99262,0.69466,0.97109,0.98457,0.99262,0.69457,1.07825,0.58982,1.84992,2.56423,0.000274012,0.000274012,0.000274012
37,3259.23,0.73427,1.2808,2.02429,1.47857,0.92293,0.92559,0.96515,0.67523,0.92293,0.92559,0.96515,0.67964,1.0978,0.64916,2.2829,2.49953,0.00027327,0.00027327,0.00027327
38,3348.54,0.72193,1.22288,1.93331,1.45273,0.99213,0.99005,0.9948,0.72231,0.99213,0.99005,0.9948,0.71677,1.04192,0.71441,1.74987,2.34089,0.000272527,0.000272527,0.000272527
39,3437.82,0.71713,1.23089,1.87656,1.45334,0.9743,0.96963,0.99386,0.67291,0.9743,0.96963,0.99386,0.67622,1.20397,0.50533,2.04482,2.35896,0.000271785,0.000271785,0.000271785
40,3526.72,0.73185,1.25291,1.96198,1.45722,0.97999,0.97447,0.994,0.67355,0.97999,0.97447,0.994,0.67424,1.26151,1.30646,1.9489,2.85667,0.000271042,0.000271042,0.000271042
41,3615.57,0.71144,1.2409,1.90131,1.45408,0.90963,0.94636,0.98008,0.70678,0.90963,0.94636,0.98008,0.70654,1.07536,0.6263,2.21027,2.34941,0.0002703,0.0002703,0.0002703
42,3704.37,0.7231,1.21937,1.87579,1.45184,0.92221,0.92359,0.98585,0.67008,0.92221,0.92359,0.98585,0.66992,1.14441,0.86108,2.36995,2.4808,0.000269557,0.000269557,0.000269557
43,3793.43,0.72371,1.24043,1.89244,1.45128,0.9821,0.98187,0.99415,0.65889,0.98708,0.98684,0.99485,0.69284,1.21928,0.62592,2.61801,2.40992,0.000268815,0.000268815,0.000268815
44,3882.22,0.70731,1.19468,1.88828,1.44767,0.86798,0.94579,0.9906,0.65124,0.86798,0.94579,0.9906,0.65779,1.19453,0.72609,2.63388,2.51803,0.000268072,0.000268072,0.000268072
45,3971.63,0.70956,1.20467,1.86101,1.45662,0.93921,0.99005,0.9933,0.65678,0.93921,0.99005,0.9933,0.68719,1.22534,0.60987,1.98181,2.6681,0.00026733,0.00026733,0.00026733
46,4060.41,0.71067,1.19055,1.85997,1.46033,0.84257,0.88557,0.98187,0.70167,0.84257,0.88557,0.98187,0.71507,1.06599,0.42278,2.75398,2.26824,0.000266587,0.000266587,0.000266587
47,4149.64,0.70997,1.20263,1.85677,1.44381,0.89205,0.90119,0.90503,0.66621,0.9223,0.89701,0.94303,0.7051,1.16965,0.41188,2.82126,2.56016,0.000265845,0.000265845,0.000265845
48,4238.52,0.70056,1.18346,1.80381,1.43844,0.98738,0.97015,0.99416,0.70413,0.98738,0.97015,0.99416,0.72492,1.08213,0.44723,1.86039,2.35664,0.000265103,0.000265103,0.000265103
49,4328.33,0.71223,1.22922,1.86694,1.45091,0.96162,0.99896,0.99428,0.7138,0.96162,0.99896,0.99428,0.71991,1.01055,0.57032,1.67775,2.50274,0.00026436,0.00026436,0.00026436
50,4417.35,0.70693,1.22575,1.79784,1.44758,0.97586,0.99277,0.99433,0.74263,0.97586,0.99277,0.99433,0.74428,0.99521,0.54955,1.65077,2.33319,0.000263617,0.000263617,0.000263617
51,4506.83,0.69941,1.18755,1.76303,1.43682,0.99256,0.98999,0.99478,0.74842,0.99256,0.98999,0.99478,0.74415,0.98127,0.40616,1.57435,2.50286,0.000262875,0.000262875,0.000262875
52,4595.51,0.69096,1.15752,1.79733,1.43582,0.98322,0.97123,0.98734,0.71439,0.98062,0.96874,0.98467,0.71133,1.07068,0.54684,1.92903,2.50724,0.000262132,0.000262132,0.000262132
53,4683.99,0.68581,1.20106,1.79933,1.4397,0.96708,0.9965,0.99349,0.74774,0.9645,0.99405,0.99402,0.76244,1.00606,0.36483,1.77584,2.29267,0.00026139,0.00026139,0.00026139
54,4772.61,0.70002,1.18899,1.79909,1.43387,0.99477,0.99254,0.99497,0.74743,0.99477,0.99254,0.99497,0.76557,1.05445,0.60286,1.64165,2.45133,0.000260647,0.000260647,0.000260647
55,4861.49,0.69527,1.16776,1.7329,1.43403,0.99611,0.99806,0.995,0.74712,0.99611,0.99806,0.995,0.72954,1.00595,0.64592,1.52532,2.50265,0.000259905,0.000259905,0.000259905
56,4950.04,0.69582,1.17484,1.79521,1.44072,0.93093,0.94527,0.97343,0.71624,0.9247,0.96517,0.9824,0.7361,1.06863,0.43103,2.01702,2.52619,0.000259163,0.000259163,0.000259163
57,5038.57,0.68908,1.15756,1.78551,1.43303,0.98781,0.98953,0.99483,0.72007,0.98781,0.98953,0.99483,0.72877,1.11553,0.63885,1.67706,2.55746,0.00025842,0.00025842,0.00025842
58,5127.35,0.68047,1.15899,1.75516,1.43196,0.90191,0.926,0.93862,0.64551,0.91163,0.95592,0.95254,0.65427,1.21459,0.3654,2.22335,2.64356,0.000257678,0.000257678,0.000257678
59,5216.36,0.68038,1.16635,1.74833,1.41937,0.99882,0.99972,0.995,0.72827,0.99882,0.99972,0.995,0.73484,1.00366,0.71507,1.55208,2.51898,0.000256935,0.000256935,0.000256935
60,5304.76,0.68898,1.1654,1.77654,1.43007,0.98073,0.94871,0.9893,0.71936,0.98073,0.94871,0.9893,0.71724,1.05405,0.64419,1.85104,2.53518,0.000256192,0.000256192,0.000256192
61,5393.95,0.69295,1.16637,1.75994,1.44109,0.95542,0.95768,0.98977,0.74559,0.95805,0.96017,0.99032,0.7411,1.02336,0.61264,1.81501,2.47215,0.00025545,0.00025545,0.00025545
62,5481.94,0.68202,1.15469,1.76135,1.41828,0.91905,0.9616,0.9859,0.71407,0.91905,0.9616,0.9859,0.71447,1.12026,0.66165,2.0567,2.48406,0.000254707,0.000254707,0.000254707
63,5571.67,0.68025,1.15899,1.77917,1.43366,0.93822,0.98861,0.99248,0.74895,0.93822,0.98861,0.99248,0.74851,1.02814,0.56553,1.7049,2.34581,0.000253965,0.000253965,0.000253965
64,5661.9,0.69455,1.18058,1.81429,1.4319,0.94115,0.98272,0.99153,0.69822,0.94115,0.98272,0.99153,0.70021,1.13261,0.79272,1.86237,2.5917,0.000253223,0.000253223,0.000253223
65,5750.05,0.69034,1.16237,1.79109,1.44654,0.95665,0.97493,0.9926,0.72506,0.95665,0.97493,0.9926,0.72325,1.00715,0.64007,1.73196,2.33903,0.00025248,0.00025248,0.00025248
66,5838.05,0.6722,1.14917,1.6992,1.42298,0.96367,0.99136,0.9942,0.76337,0.96367,0.99136,0.9942,0.75604,0.93912,0.64603,1.5885,2.42966,0.000251737,0.000251737,0.000251737
67,5926.62,0.67788,1.16808,1.75593,1.42169,0.9553,0.98678,0.99147,0.73546,0.9553,0.98678,0.99147,0.74972,1.00672,0.38264,1.76587,2.5503,0.000250995,0.000250995,0.000250995
68,6014.6,0.67857,1.14687,1.75695,1.42484,0.96315,0.95982,0.99036,0.69948,0.96315,0.95982,0.99052,0.72888,1.11784,0.53151,2.1275,2.50676,0.000250252,0.000250252,0.000250252
69,6102.96,0.68861,1.17909,1.7713,1.42924,0.93456,0.92882,0.9601,0.67912,0.94663,0.93704,0.96438,0.67986,1.17125,0.53194,2.47681,2.72923,0.00024951,0.00024951,0.00024951
70,6191.33,0.68714,1.16466,1.74459,1.42904,0.86898,0.84129,0.85223,0.62735,0.89698,0.86605,0.89131,0.65732,1.33569,0.35884,3.33507,2.71096,0.000248767,0.000248767,0.000248767
71,6279.29,0.67664,1.13646,1.71533,1.42133,0.93076,0.96224,0.97699,0.76461,0.96488,0.94268,0.98549,0.773,1.0123,0.48149,1.87458,2.50736,0.000248025,0.000248025,0.000248025
72,6367.85,0.6673,1.13787,1.7169,1.42041,0.87452,0.87101,0.95146,0.72797,0.87452,0.87101,0.95213,0.72964,0.95006,0.41748,2.29422,2.32776,0.000247282,0.000247282,0.000247282
73,6455.73,0.67958,1.14446,1.71699,1.42272,0.91085,0.90785,0.94073,0.66724,0.91085,0.90785,0.94073,0.66953,1.13728,0.54537,2.33272,2.66166,0.00024654,0.00024654,0.00024654
74,6543.89,0.68327,1.13311,1.73184,1.42845,0.94568,0.90299,0.96685,0.67356,0.94568,0.90299,0.96685,0.66715,1.19432,0.71128,2.21834,2.63162,0.000245797,0.000245797,0.000245797
75,6632.69,0.67118,1.12482,1.67646,1.4168,0.92356,0.97015,0.96517,0.70739,0.92356,0.97015,0.96517,0.70844,1.03213,0.52366,1.87691,2.48869,0.000245055,0.000245055,0.000245055
76,6720.8,0.66643,1.11022,1.70723,1.41444,0.94038,0.9373,0.98719,0.74426,0.94038,0.9373,0.98719,0.74972,0.96026,0.3587,2.05482,2.44085,0.000244312,0.000244312,0.000244312
77,6809.26,0.66164,1.12305,1.69636,1.41469,0.95711,0.96892,0.99349,0.65933,0.95711,0.96892,0.99349,0.6903,1.22481,0.68801,2.16908,2.90269,0.00024357,0.00024357,0.00024357
78,6897.48,0.65046,1.10147,1.6152,1.40508,0.97883,0.99254,0.99046,0.73761,0.97883,0.99254,0.99046,0.74888,1.04204,0.61368,1.71364,2.48807,0.000242827,0.000242827,0.000242827
79,6985.74,0.65361,1.08941,1.6469,1.40711,0.98421,0.99534,0.9948,0.76673,0.98421,0.99534,0.9948,0.78702,0.96827,0.40452,1.62501,2.48383,0.000242085,0.000242085,0.000242085
80,7074.14,0.65888,1.10807,1.69536,1.40785,0.99722,0.99005,0.99498,0.72825,0.99722,0.99005,0.99498,0.70165,1.05451,0.83969,1.59338,2.58727,0.000241342,0.000241342,0.000241342
81,7162.99,0.67506,1.13661,1.74316,1.41719,0.99392,1,0.99498,0.73556,0.99392,1,0.99498,0.74211,1.02629,0.30958,1.59694,2.53969,0.0002406,0.0002406,0.0002406
82,7251.99,0.66836,1.13001,1.71057,1.41441,0.98464,0.96241,0.99392,0.67489,0.98464,0.96241,0.99392,0.68065,1.305,0.70412,2.2415,2.95046,0.000239857,0.000239857,0.000239857
83,7340.91,0.66824,1.15738,1.70549,1.4178,0.95662,0.95664,0.98434,0.67445,0.95662,0.95664,0.98434,0.67391,1.18226,0.55468,2.07838,2.62667,0.000239115,0.000239115,0.000239115
84,7429.84,0.66511,1.13205,1.67482,1.41737,0.95757,0.93284,0.98491,0.67166,0.95757,0.93284,0.98491,0.67339,1.2075,0.48487,2.1615,2.66292,0.000238372,0.000238372,0.000238372
85,7518.77,0.65116,1.10786,1.68743,1.4114,0.90172,0.9015,0.94004,0.67076,0.90172,0.9015,0.94004,0.67389,1.19665,0.4084,2.26508,2.74897,0.00023763,0.00023763,0.00023763
86,7607.66,0.65149,1.11271,1.67809,1.40674,0.92262,0.92213,0.97206,0.74791,0.92489,0.92462,0.97405,0.74004,1.0323,0.63959,2.17786,2.41156,0.000236887,0.000236887,0.000236887
87,7696.63,0.65046,1.08735,1.63284,1.4026,0.90745,0.96445,0.98675,0.66888,0.90745,0.96445,0.98675,0.68169,1.12866,0.48934,1.98602,2.64832,0.000236145,0.000236145,0.000236145
88,7784.82,0.65921,1.1008,1.67284,1.40944,0.9404,0.87548,0.94906,0.67338,0.9404,0.87548,0.94932,0.68455,1.08469,0.65854,2.22977,2.6961,0.000235402,0.000235402,0.000235402
89,7873.61,0.64575,1.09294,1.60733,1.40125,0.84059,0.87065,0.9268,0.68611,0.84059,0.87065,0.92993,0.6954,1.12922,0.43385,2.71149,2.58259,0.00023466,0.00023466,0.00023466
90,7964.14,0.65771,1.11772,1.63266,1.40669,0.98032,0.96933,0.99392,0.72904,0.98032,0.96933,0.99392,0.73974,1.032,0.54093,1.70378,2.59255,0.000233917,0.000233917,0.000233917
91,8052.54,0.64514,1.0991,1.67595,1.39944,0.94589,0.89215,0.98289,0.73384,0.94589,0.89215,0.98289,0.73169,1.02845,0.64151,2.14878,2.51146,0.000233175,0.000233175,0.000233175
92,8141.26,0.65486,1.09371,1.63899,1.41245,0.84578,0.935,0.96817,0.69682,0.84578,0.935,0.96817,0.71345,1.11124,0.43799,2.49646,2.64569,0.000232432,0.000232432,0.000232432
93,8229.93,0.64855,1.07792,1.64218,1.38886,0.97916,0.99254,0.99365,0.75864,0.97916,0.99254,0.99365,0.77352,1.04653,0.51526,1.5404,2.62637,0.00023169,0.00023169,0.00023169
94,8318.7,0.65461,1.09448,1.66063,1.40195,0.96155,0.9801,0.98886,0.70629,0.96155,0.9801,0.98886,0.71441,1.11255,0.47462,1.7333,2.58337,0.000230947,0.000230947,0.000230947
95,8407.65,0.63354,1.05849,1.57412,1.39596,0.96204,0.9801,0.98916,0.7192,0.96204,0.9801,0.98916,0.73148,1.12463,0.62499,1.71688,2.7183,0.000230205,0.000230205,0.000230205
96,8496.46,0.64708,1.08454,1.61592,1.40318,0.96288,0.94081,0.98613,0.75699,0.96288,0.94081,0.98613,0.77013,1.0261,0.36868,1.83348,2.6153,0.000229462,0.000229462,0.000229462
97,8584.31,0.64334,1.08185,1.5948,1.3994,0.92943,0.96766,0.98627,0.71668,0.92943,0.96766,0.98627,0.73042,1.09328,0.38644,1.86804,2.60804,0.00022872,0.00022872,0.00022872
98,8673.06,0.64731,1.04405,1.58117,1.41171,0.96162,0.98039,0.9905,0.76403,0.96411,0.98288,0.99128,0.7821,1.01234,0.4145,1.61921,2.45823,0.000227978,0.000227978,0.000227978
99,8762.04,0.64738,1.07745,1.61462,1.40067,0.94359,0.90215,0.95506,0.73515,0.94085,0.89966,0.95148,0.73837,1.0187,0.40639,2.14947,2.47272,0.000227235,0.000227235,0.000227235
100,8851.01,0.63435,1.06006,1.5647,1.38839,0.95947,0.95375,0.98671,0.74419,0.96446,0.95869,0.98937,0.74762,1.10562,0.58327,1.84771,2.65006,0.000226492,0.000226492,0.000226492
101,8939.94,0.64203,1.06965,1.6075,1.39159,0.95267,0.94795,0.98725,0.72129,0.95524,0.95044,0.98995,0.72917,1.07408,0.44571,1.92208,2.44357,0.00022575,0.00022575,0.00022575
102,9028.84,0.63057,1.0596,1.58718,1.3918,0.92465,0.97304,0.9865,0.68518,0.92978,0.9778,0.99028,0.69949,1.15897,0.46051,2.03312,2.62214,0.000225008,0.000225008,0.000225008
103,9117.71,0.63798,1.09145,1.62912,1.40527,0.93189,0.85566,0.93921,0.73704,0.93272,0.86567,0.94871,0.74368,1.10273,0.4073,2.48664,2.44974,0.000224265,0.000224265,0.000224265
104,9206.54,0.63903,1.0741,1.60247,1.38733,0.9187,0.90547,0.92963,0.70527,0.91954,0.92537,0.94904,0.72608,1.14792,0.51171,2.23464,2.64866,0.000223522,0.000223522,0.000223522
