epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1181.99,0.80581,0.52942,1.33769,0.99959,1,0.995,0.55367,1.40837,0.52618,2.31477,0.0014324,0.0014324,0.0014324
45,1209.54,0.78275,0.50566,1.32681,0.99933,1,0.995,0.66037,1.15863,0.47753,1.9291,0.0014192,0.0014192,0.0014192
46,1237.21,0.79143,0.52339,1.33377,0.99905,1,0.995,0.78445,0.83905,0.44019,1.38676,0.001406,0.001406,0.001406
47,1264.94,0.74037,0.49686,1.31297,0.98913,0.98885,0.99489,0.66854,1.25255,0.57011,1.909,0.0013928,0.0013928,0.0013928
48,1292.52,0.76072,0.49628,1.32228,0.99869,1,0.995,0.61924,1.27518,0.5407,2.28286,0.0013796,0.0013796,0.0013796
49,1320.11,0.77374,0.47334,1.31776,0.99958,1,0.995,0.6787,1.13728,0.47578,1.77391,0.0013664,0.0013664,0.0013664
50,1347.8,0.76045,0.4791,1.31787,0.99837,1,0.995,0.62049,1.19283,0.55847,2.18866,0.0013532,0.0013532,0.0013532
51,1371.56,0.75705,0.48954,1.31354,0.85896,0.92675,0.96535,0.60807,1.3855,0.90106,2.13466,0.00134,0.00134,0.00134
52,1393.84,0.72967,0.47181,1.28749,0.99963,1,0.995,0.65205,1.3371,0.50076,2.22911,0.0013268,0.0013268,0.0013268
53,1416.16,0.73583,0.4742,1.28513,0.99961,1,0.995,0.73804,0.9531,0.4368,1.61244,0.0013136,0.0013136,0.0013136
54,1438.48,0.73468,0.48253,1.30464,0.99913,1,0.995,0.69483,1.07724,0.46209,1.71616,0.0013004,0.0013004,0.0013004
55,1460.78,0.74316,0.47859,1.29007,0.99924,1,0.995,0.77516,0.90705,0.445,1.48437,0.0012872,0.0012872,0.0012872
