epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,249.374,0.7604,0.49835,1.32992,0.99958,1,0.995,0.78307,0.86096,0.42598,1.4115,0.0014324,0.0014324,0.0014324
45,255.023,0.77351,0.50894,1.3455,0.99949,1,0.995,0.77707,0.92753,0.48707,1.49137,0.0014192,0.0014192,0.0014192
46,260.661,0.75723,0.48023,1.32893,0.99966,1,0.995,0.81704,0.76338,0.42232,1.30076,0.001406,0.001406,0.001406
47,266.305,0.69629,0.46691,1.29485,0.99901,1,0.995,0.76195,0.96078,0.46663,1.55115,0.0013928,0.0013928,0.0013928
48,271.939,0.74938,0.47933,1.32994,0.98914,1,0.99495,0.80315,0.77584,0.47648,1.31197,0.0013796,0.0013796,0.0013796
49,277.602,0.74488,0.46873,1.32495,0.98709,1,0.9944,0.79656,0.79649,0.42639,1.34502,0.0013664,0.0013664,0.0013664
50,283.278,0.73447,0.46172,1.31696,0.99358,1,0.99349,0.7728,0.87777,0.41854,1.45653,0.0013532,0.0013532,0.0013532
51,288.91,0.74636,0.4685,1.33601,0.99961,1,0.995,0.76158,0.95039,0.43887,1.53281,0.00134,0.00134,0.00134
52,294.589,0.70788,0.45141,1.30094,0.99431,1,0.995,0.7589,0.97563,0.48159,1.45305,0.0013268,0.0013268,0.0013268
53,300.238,0.71051,0.44834,1.28554,0.9996,1,0.995,0.82488,0.68237,0.37641,1.21519,0.0013136,0.0013136,0.0013136
54,305.899,0.71543,0.45364,1.31336,0.99957,1,0.995,0.77733,0.81346,0.41653,1.40296,0.0013004,0.0013004,0.0013004
55,311.542,0.71764,0.46669,1.29505,0.99924,1,0.995,0.79377,0.86615,0.40309,1.44821,0.0012872,0.0012872,0.0012872
56,317.19,0.72126,0.44593,1.28732,0.9947,1,0.995,0.82967,0.77497,0.42626,1.31078,0.001274,0.001274,0.001274
57,322.851,0.71955,0.45269,1.28913,0.99737,1,0.995,0.74475,1.07006,0.4908,1.7908,0.0012608,0.0012608,0.0012608
58,328.499,0.71124,0.45425,1.29174,0.99951,1,0.995,0.78839,0.86715,0.38,1.53582,0.0012476,0.0012476,0.0012476
59,334.136,0.68137,0.43433,1.26233,0.99967,1,0.995,0.79472,0.89193,0.43582,1.44948,0.0012344,0.0012344,0.0012344
60,339.784,0.68542,0.44371,1.29164,0.99951,1,0.995,0.77659,0.96292,0.43267,1.643,0.0012212,0.0012212,0.0012212
61,345.434,0.70132,0.43861,1.29241,0.99873,1,0.995,0.83181,0.76575,0.39877,1.38807,0.001208,0.001208,0.001208
62,351.102,0.67512,0.42879,1.26146,0.99955,1,0.995,0.78087,0.95202,0.42554,1.53349,0.0011948,0.0011948,0.0011948
63,356.748,0.6683,0.46988,1.23505,0.99955,1,0.995,0.83884,0.71306,0.36055,1.2455,0.0011816,0.0011816,0.0011816
64,362.423,0.66503,0.44663,1.26116,0.98907,0.98399,0.99281,0.76889,0.9193,0.47585,1.49388,0.0011684,0.0011684,0.0011684
65,368.072,0.6533,0.42332,1.23893,0.9961,1,0.995,0.75398,1.00429,0.46564,1.61168,0.0011552,0.0011552,0.0011552
66,373.72,0.67675,0.42691,1.25253,0.99967,1,0.995,0.86609,0.64224,0.34935,1.16298,0.001142,0.001142,0.001142
67,379.361,0.67321,0.41605,1.2517,0.99934,1,0.995,0.81782,0.79147,0.39925,1.3618,0.0011288,0.0011288,0.0011288
68,385.009,0.68366,0.43399,1.25931,0.99963,1,0.995,0.74911,0.96866,0.43788,1.66298,0.0011156,0.0011156,0.0011156
69,390.656,0.68723,0.44258,1.2689,0.99958,1,0.995,0.82731,0.75461,0.37535,1.30375,0.0011024,0.0011024,0.0011024
70,396.295,0.65969,0.40832,1.24136,0.99961,1,0.995,0.81786,0.78522,0.38508,1.32008,0.0010892,0.0010892,0.0010892
71,401.94,0.66068,0.42598,1.25517,0.99966,1,0.995,0.82648,0.72143,0.3563,1.27052,0.001076,0.001076,0.001076
72,407.602,0.65002,0.3954,1.24006,0.97115,1,0.9802,0.76201,0.89005,0.42576,1.50563,0.0010628,0.0010628,0.0010628
73,413.259,0.67524,0.42236,1.25277,0.99942,1,0.995,0.8155,0.77589,0.37112,1.36417,0.0010496,0.0010496,0.0010496
74,418.933,0.64706,0.41225,1.2416,0.99961,1,0.995,0.79802,0.82516,0.36764,1.41349,0.0010364,0.0010364,0.0010364
75,424.57,0.6363,0.40566,1.21873,0.99966,1,0.995,0.8481,0.68442,0.35954,1.22881,0.0010232,0.0010232,0.0010232
76,430.22,0.66005,0.41263,1.2412,0.99936,1,0.995,0.85324,0.63302,0.34003,1.16079,0.00101,0.00101,0.00101
77,435.883,0.63218,0.39386,1.20968,0.99391,1,0.99495,0.84794,0.67435,0.37196,1.20566,0.0009968,0.0009968,0.0009968
78,442.247,0.63743,0.40591,1.22745,0.99953,1,0.995,0.80509,0.77743,0.35939,1.31727,0.0009836,0.0009836,0.0009836
79,447.897,0.63498,0.4006,1.23319,0.99966,1,0.995,0.82582,0.77489,0.39205,1.35123,0.0009704,0.0009704,0.0009704
80,453.543,0.62622,0.40023,1.21868,0.99967,1,0.995,0.83593,0.71225,0.38597,1.25756,0.0009572,0.0009572,0.0009572
81,459.185,0.62113,0.39563,1.21535,0.99965,1,0.995,0.77517,0.92195,0.41474,1.49489,0.000944,0.000944,0.000944
82,464.835,0.6259,0.39611,1.21212,0.99971,1,0.995,0.84552,0.68044,0.34131,1.21206,0.0009308,0.0009308,0.0009308
83,470.472,0.66048,0.39705,1.27787,0.99965,1,0.995,0.82996,0.72497,0.35278,1.27605,0.0009176,0.0009176,0.0009176
84,476.125,0.63993,0.52996,1.229,0.99965,1,0.995,0.8301,0.73416,0.3439,1.28539,0.0009044,0.0009044,0.0009044
85,481.781,0.62442,0.38128,1.20814,0.9996,1,0.995,0.80739,0.82198,0.37085,1.3657,0.0008912,0.0008912,0.0008912
86,487.441,0.62099,0.38426,1.19914,0.99968,1,0.995,0.82771,0.73753,0.35726,1.27604,0.000878,0.000878,0.000878
87,493.104,0.66633,0.4229,1.21695,0.99966,1,0.995,0.82926,0.7183,0.37789,1.22781,0.0008648,0.0008648,0.0008648
88,498.753,0.60385,0.39258,1.18998,0.99959,1,0.995,0.82748,0.73739,0.37112,1.33407,0.0008516,0.0008516,0.0008516
89,504.411,0.61033,0.37889,1.20309,0.99967,1,0.995,0.8243,0.71247,0.34925,1.30985,0.0008384,0.0008384,0.0008384
90,510.073,0.58586,0.37435,1.17009,0.99966,1,0.995,0.83296,0.68755,0.36093,1.26854,0.0008252,0.0008252,0.0008252
91,515.711,0.62313,0.38284,1.20674,0.98874,1,0.99489,0.79161,0.80651,0.39554,1.39399,0.000812,0.000812,0.000812
92,521.362,0.60948,0.38032,1.19586,0.99965,1,0.995,0.83022,0.7777,0.37114,1.37586,0.0007988,0.0007988,0.0007988
93,527.021,0.60299,0.37469,1.19384,0.99675,1,0.995,0.83941,0.68757,0.34369,1.23582,0.0007856,0.0007856,0.0007856
94,532.685,0.6051,0.3769,1.19946,0.99965,1,0.995,0.85291,0.67106,0.33932,1.21104,0.0007724,0.0007724,0.0007724
95,538.345,0.59434,0.36717,1.19174,0.99957,1,0.995,0.83868,0.71913,0.34846,1.31129,0.0007592,0.0007592,0.0007592
96,544.015,0.59193,0.36957,1.18476,0.99938,1,0.995,0.84644,0.69485,0.33591,1.25684,0.000746,0.000746,0.000746
97,549.673,0.59244,0.38123,1.17892,0.99966,1,0.995,0.86868,0.62915,0.32515,1.18268,0.0007328,0.0007328,0.0007328
98,555.343,0.59158,0.37395,1.18715,1,0.99939,0.995,0.83084,0.71308,0.35952,1.25388,0.0007196,0.0007196,0.0007196
99,560.993,0.591,0.37784,1.17595,0.99966,1,0.995,0.80631,0.77765,0.36537,1.30267,0.0007064,0.0007064,0.0007064
100,566.649,0.59139,0.36607,1.18322,0.99964,1,0.995,0.8335,0.66383,0.34613,1.19823,0.0006932,0.0006932,0.0006932
101,572.307,0.61615,0.38483,1.18193,0.99956,1,0.995,0.83916,0.66489,0.33248,1.1928,0.00068,0.00068,0.00068
102,577.976,0.58807,0.36505,1.18124,0.99961,1,0.995,0.83992,0.68372,0.32808,1.23417,0.0006668,0.0006668,0.0006668
103,583.609,0.59212,0.36642,1.18189,0.99682,1,0.995,0.83791,0.7521,0.36529,1.31631,0.0006536,0.0006536,0.0006536
104,589.267,0.57914,0.35978,1.18542,0.99968,1,0.995,0.83745,0.70067,0.32987,1.25284,0.0006404,0.0006404,0.0006404
105,594.928,0.58582,0.36016,1.16857,0.99934,1,0.995,0.81217,0.74065,0.34326,1.26548,0.0006272,0.0006272,0.0006272
106,600.57,0.5724,0.46757,1.15212,0.99967,1,0.995,0.85229,0.67378,0.33549,1.22185,0.000614,0.000614,0.000614
107,606.22,0.60016,0.36361,1.1795,0.99966,1,0.995,0.84423,0.7508,0.36183,1.28914,0.0006008,0.0006008,0.0006008
108,611.883,0.58423,0.35728,1.16959,0.99967,1,0.995,0.85806,0.64363,0.32449,1.181,0.0005876,0.0005876,0.0005876
109,617.566,0.66404,0.41434,1.3199,0.99964,1,0.995,0.84965,0.6766,0.32669,1.1952,0.0005744,0.0005744,0.0005744
110,623.236,0.56716,0.34973,1.16902,0.99962,1,0.995,0.85076,0.66128,0.32442,1.20176,0.0005612,0.0005612,0.0005612
111,628.886,0.56286,0.34465,1.15681,0.99967,1,0.995,0.85272,0.71405,0.32673,1.27525,0.000548,0.000548,0.000548
112,634.531,0.57799,0.3543,1.17978,0.99966,1,0.995,0.82571,0.76144,0.33943,1.33707,0.0005348,0.0005348,0.0005348
113,640.19,0.59037,0.36191,1.18079,0.99965,1,0.995,0.83368,0.71262,0.33503,1.24591,0.0005216,0.0005216,0.0005216
114,645.851,0.59552,0.35507,1.1802,0.99968,1,0.995,0.84763,0.66751,0.31417,1.18847,0.0005084,0.0005084,0.0005084
115,651.494,0.55869,0.33483,1.15735,0.99968,1,0.995,0.85183,0.69873,0.3207,1.23967,0.0004952,0.0004952,0.0004952
116,657.17,0.57677,0.35114,1.1588,0.99963,1,0.995,0.85238,0.67551,0.31677,1.20984,0.000482,0.000482,0.000482
117,662.843,0.57321,0.33789,1.15955,1,0.9994,0.995,0.86163,0.63939,0.3281,1.1592,0.0004688,0.0004688,0.0004688
118,668.521,0.5623,0.34187,1.1896,0.99967,1,0.995,0.84871,0.66401,0.31592,1.19258,0.0004556,0.0004556,0.0004556
119,674.188,0.54603,0.3406,1.14438,0.99969,1,0.995,0.86464,0.63056,0.29527,1.1874,0.0004424,0.0004424,0.0004424
120,679.853,0.56791,0.34692,1.17316,0.99966,1,0.995,0.86167,0.64478,0.30087,1.18451,0.0004292,0.0004292,0.0004292
121,685.513,0.59221,0.3846,1.19108,0.99967,1,0.995,0.84828,0.70765,0.31371,1.24129,0.000416,0.000416,0.000416
122,691.17,0.57855,0.39122,1.14351,0.99962,1,0.995,0.87155,0.60469,0.28617,1.14398,0.0004028,0.0004028,0.0004028
123,696.832,0.55414,0.33183,1.14983,0.99966,1,0.995,0.85586,0.62784,0.3024,1.16917,0.0003896,0.0003896,0.0003896
124,702.491,0.54889,0.33485,1.15542,0.99967,1,0.995,0.86742,0.63487,0.28527,1.16803,0.0003764,0.0003764,0.0003764
125,708.151,0.55218,0.44138,1.16512,0.99967,1,0.995,0.8538,0.65703,0.29649,1.18444,0.0003632,0.0003632,0.0003632
126,713.818,0.54522,0.33641,1.1517,0.99967,1,0.995,0.8722,0.6108,0.30884,1.14039,0.00035,0.00035,0.00035
127,719.483,0.5335,0.31971,1.12864,0.99967,1,0.995,0.86628,0.61516,0.29035,1.14466,0.0003368,0.0003368,0.0003368
128,725.145,0.54592,0.33039,1.13035,0.99966,1,0.995,0.84094,0.68589,0.30797,1.22222,0.0003236,0.0003236,0.0003236
129,730.812,0.55164,0.33915,1.16823,0.99965,1,0.995,0.85792,0.66258,0.29985,1.20056,0.0003104,0.0003104,0.0003104
130,736.463,0.52352,0.32032,1.13336,0.99966,1,0.995,0.88128,0.58163,0.28056,1.10982,0.0002972,0.0002972,0.0002972
131,742.112,0.53572,0.33314,1.13347,0.99965,1,0.995,0.8617,0.6253,0.30287,1.1595,0.000284,0.000284,0.000284
132,747.777,0.52994,0.32292,1.12824,0.99966,1,0.995,0.85647,0.65185,0.30221,1.19138,0.0002708,0.0002708,0.0002708
133,753.43,0.53638,0.33123,1.14901,0.99965,1,0.995,0.86079,0.64698,0.29401,1.18371,0.0002576,0.0002576,0.0002576
134,759.087,0.52751,0.3187,1.12444,0.99971,1,0.995,0.87028,0.59561,0.27754,1.12333,0.0002444,0.0002444,0.0002444
135,764.73,0.54284,0.32157,1.15215,0.99977,1,0.995,0.8515,0.6681,0.30017,1.19938,0.0002312,0.0002312,0.0002312
136,770.384,0.55294,0.32915,1.15034,0.99967,1,0.995,0.86233,0.66638,0.29263,1.20673,0.000218,0.000218,0.000218
137,776.04,0.55753,0.32778,1.15629,0.99968,1,0.995,0.87942,0.59134,0.27797,1.14111,0.0002048,0.0002048,0.0002048
138,781.706,0.52459,0.31016,1.1225,0.99967,1,0.995,0.86914,0.62398,0.27914,1.16705,0.0001916,0.0001916,0.0001916
139,787.354,0.55901,0.31483,1.16808,0.99968,1,0.995,0.86826,0.63392,0.29186,1.16727,0.0001784,0.0001784,0.0001784
140,793.018,0.56504,0.36814,1.17009,0.99966,1,0.995,0.86403,0.62633,0.292,1.15797,0.0001652,0.0001652,0.0001652
141,799.28,0.45971,0.24134,1.06594,0.99962,1,0.995,0.85725,0.62312,0.28611,1.1599,0.000152,0.000152,0.000152
142,804.935,0.45507,0.2354,1.04642,0.99966,1,0.995,0.85722,0.64705,0.29338,1.18831,0.0001388,0.0001388,0.0001388
143,810.558,0.45106,0.23892,1.0511,0.99965,1,0.995,0.85738,0.62701,0.29212,1.16617,0.0001256,0.0001256,0.0001256
144,816.198,0.44954,0.23619,1.04579,0.99965,1,0.995,0.85636,0.6525,0.2936,1.20458,0.0001124,0.0001124,0.0001124
145,821.843,0.45005,0.23305,1.04693,0.99967,1,0.995,0.87068,0.62247,0.29252,1.17564,9.92e-05,9.92e-05,9.92e-05
146,827.471,0.44118,0.23178,1.05173,0.99968,1,0.995,0.86694,0.63415,0.29305,1.18053,8.6e-05,8.6e-05,8.6e-05
147,833.086,0.44855,0.23106,1.04543,0.99968,1,0.995,0.85945,0.63914,0.29308,1.18749,7.28e-05,7.28e-05,7.28e-05
148,838.718,0.46026,0.30617,1.05783,0.99969,1,0.995,0.86676,0.62969,0.29071,1.17867,5.96e-05,5.96e-05,5.96e-05
149,844.361,0.43195,0.2289,1.04516,0.99968,1,0.995,0.86415,0.62966,0.29266,1.17725,4.64e-05,4.64e-05,4.64e-05
150,850.003,0.44464,0.22749,1.05633,0.99968,1,0.995,0.8657,0.63075,0.29143,1.17879,3.32e-05,3.32e-05,3.32e-05
