epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0593,3.02037,3.44653,4.09223,0.00262,0.78652,0.0668,0.01691,3.13625,4.22997,4.07613,0.000652482,0.000652482,0.000652482
2,45.3585,2.80365,2.88596,3.52763,0.00523,0.64045,0.00455,0.0019,3.10574,inf,10.7511,0.00131044,0.00131044,0.00131044
3,67.6111,2.64404,2.43533,3.19599,0.00129,0.01124,0.00026,3e-05,4.36488,inf,8.03973,0.0019596,0.0019596,0.0019596
4,89.7622,2.45382,2.13516,2.97254,0.00544,0.23596,0.00338,0.00117,4.03586,5.47757,8.01171,0.0019604,0.0019604,0.0019604
5,111.972,2.21842,1.81716,2.75718,0.06423,0.39326,0.04416,0.01156,2.55141,4.00906,3.14823,0.0019472,0.0019472,0.0019472
6,134.232,2.00039,1.59191,2.59499,0.09504,0.17978,0.04429,0.01131,2.53221,3.41176,3.09011,0.001934,0.001934,0.001934
7,156.47,1.85836,1.46339,2.44085,0.42179,0.52809,0.40758,0.13909,1.93643,2.42201,2.58417,0.0019208,0.0019208,0.0019208
8,178.852,1.81291,1.43262,2.37826,0.82602,0.93258,0.90929,0.48213,1.45033,1.72962,2.11927,0.0019076,0.0019076,0.0019076
9,201.231,1.61921,1.24314,2.22045,0.89963,0.80571,0.88659,0.54346,1.41618,1.32736,2.14038,0.0018944,0.0018944,0.0018944
10,223.623,1.5418,1.19408,2.09049,0.87472,0.89326,0.95496,0.62064,1.32797,0.93207,1.94458,0.0018812,0.0018812,0.0018812
11,246.297,1.45782,1.08239,1.9925,0.90255,0.78052,0.91929,0.59639,1.15029,2.11868,1.76779,0.001868,0.001868,0.001868
12,269.139,1.3864,1.0268,1.94163,0.86188,0.8764,0.94298,0.66531,1.07958,1.10234,1.70378,0.0018548,0.0018548,0.0018548
13,292.363,1.33923,0.97678,1.86223,0.93752,0.9382,0.98091,0.59438,1.23017,0.93893,1.85297,0.0018416,0.0018416,0.0018416
14,315.157,1.26621,0.95192,1.79101,0.99419,0.93258,0.98639,0.69162,1.18649,0.77939,1.80164,0.0018284,0.0018284,0.0018284
15,339.303,1.22844,0.88286,1.75169,0.96838,0.85955,0.96619,0.71178,1.02596,0.79523,1.59009,0.0018152,0.0018152,0.0018152
16,362.617,1.16753,0.84768,1.69772,0.9719,0.9717,0.99307,0.68491,1.142,0.81165,1.7688,0.001802,0.001802,0.001802
17,385.59,1.17971,0.81136,1.70717,0.97281,0.8764,0.96622,0.68698,1.13365,0.73589,1.6471,0.0017888,0.0017888,0.0017888
18,408.013,1.17736,0.81138,1.66311,1,0.95822,0.99184,0.72797,1.01648,0.64841,1.56302,0.0017756,0.0017756,0.0017756
19,430.488,1.10153,0.74914,1.59762,0.91886,1,0.98821,0.72663,1.01753,0.81553,1.57398,0.0017624,0.0017624,0.0017624
20,452.854,1.10661,0.76547,1.61875,0.99775,1,0.995,0.77812,0.91818,0.62901,1.48152,0.0017492,0.0017492,0.0017492
21,475.384,1.07615,0.71994,1.58483,0.99617,1,0.995,0.77194,0.88505,0.66702,1.42223,0.001736,0.001736,0.001736
22,497.786,1.02186,0.69808,1.53328,0.96683,0.98251,0.98995,0.72123,1.03163,0.67755,1.62293,0.0017228,0.0017228,0.0017228
23,520.179,1.00253,0.69469,1.50567,0.99179,1,0.995,0.74403,0.96726,0.65223,1.57323,0.0017096,0.0017096,0.0017096
24,542.62,1.00235,0.67131,1.49973,0.99905,1,0.995,0.77837,0.9355,0.57693,1.46945,0.0016964,0.0016964,0.0016964
